SAMPLED_DATE,RESULT_VALUE,COMPONENT_NAME
2024-01-16 09:00:00,0.0,EDC
2024-01-16 16:30:00,0.0,EDC
2024-01-17 00:30:00,0.0,EDC
2024-01-17 09:00:00,0.0,EDC
2024-01-17 16:30:00,0.02,EDC
2024-01-18 00:30:00,0.0,EDC
2024-01-18 09:00:00,0.0,EDC
2024-01-18 16:30:00,0.0,EDC
2024-01-19 00:30:00,0.0,EDC
2024-01-19 09:00:00,0.0,EDC
2024-01-19 16:30:00,0.01,EDC
2024-01-20 00:30:00,0.0,EDC
2024-01-20 09:00:00,0.0,EDC
2024-01-20 16:30:00,0.02,EDC
2024-01-21 00:30:00,0.0,EDC
2024-01-21 09:00:00,0.01,EDC
2024-01-21 16:30:00,0.0,EDC
2024-01-22 00:30:00,0.0,EDC
2024-01-22 09:00:00,0.01,EDC
2024-01-22 16:30:00,0.0,EDC
2024-01-23 00:30:00,0.0,EDC
2024-01-23 09:00:00,0.0,EDC
2024-01-23 16:30:00,0.0,EDC
2024-01-24 00:30:00,0.0,EDC
2024-01-24 09:00:00,0.0,EDC
2024-01-24 16:30:00,0.0,EDC
2024-01-25 00:30:00,0.0,EDC
2024-01-25 09:00:00,0.0,EDC
2024-01-25 16:30:00,0.0,EDC
2024-01-26 00:30:00,0.0,EDC
2024-01-26 09:00:00,0.0,EDC
2024-01-26 16:30:00,0.0,EDC
2024-01-27 00:30:00,0.0,EDC
2024-01-27 09:00:00,0.0,EDC
2024-01-27 16:30:00,0.01,EDC
2024-01-28 00:30:00,0.0,EDC
2024-01-28 09:00:00,0.0,EDC
2024-01-28 16:30:00,0.01,EDC
2024-01-29 00:30:00,0.0,EDC
2024-01-29 09:00:00,0.0,EDC
2024-01-29 16:30:00,0.11,EDC
2024-01-30 09:00:00,0.0,EDC
2024-01-30 16:30:00,0.0,EDC
2024-01-31 00:30:00,0.0,EDC
2024-01-31 09:00:00,0.0,EDC
2024-01-31 16:30:00,0.0,EDC
2024-02-01 00:30:00,0.0,EDC
2024-02-01 09:00:00,0.0,EDC
2024-02-01 16:30:00,0.0,EDC
2024-02-02 00:30:00,0.0,EDC
2024-02-02 09:00:00,0.0,EDC
2024-02-02 16:30:00,0.0,EDC
2024-02-03 00:30:00,0.0,EDC
2024-02-03 09:00:00,0.0,EDC
2024-02-03 16:30:00,0.0,EDC
2024-02-04 00:30:00,0.0,EDC
2024-02-04 09:00:00,0.0,EDC
2024-02-04 16:30:00,0.0,EDC
2024-02-05 00:30:00,0.0,EDC
2024-02-05 09:00:00,0.0,EDC
2024-02-05 16:30:00,0.1,EDC
2024-02-06 00:30:00,0.0,EDC
2024-02-06 09:00:00,0.0,EDC
2024-02-06 16:30:00,0.03,EDC
2024-02-07 00:30:00,0.0,EDC
2024-02-07 09:00:00,0.0,EDC
2024-02-07 16:30:00,0.3,EDC
2024-02-08 00:30:00,0.0,EDC
2024-02-08 09:00:00,0.03,EDC
2024-02-08 16:30:00,0.01,EDC
2024-02-09 00:30:00,0.0,EDC
2024-02-09 09:00:00,0.0,EDC
2024-02-09 16:30:00,0.0,EDC
2024-02-10 00:30:00,0.0,EDC
2024-02-10 09:00:00,0.0,EDC
2024-02-10 16:30:00,0.0,EDC
2024-02-11 00:30:00,0.12,EDC
2024-02-11 09:00:00,0.0,EDC
2024-02-11 16:30:00,0.0,EDC
2024-02-12 00:30:00,0.0,EDC
2024-02-12 09:00:00,0.0,EDC
2024-02-12 16:30:00,0.0,EDC
2024-02-13 00:30:00,0.07,EDC
2024-02-13 09:00:00,0.05,EDC
2024-02-13 16:30:00,0.0,EDC
2024-02-14 00:30:00,0.0,EDC
2024-02-14 09:00:00,0.0,EDC
2024-02-14 16:30:00,0.02,EDC
2024-02-15 00:30:00,0.0,EDC
2024-02-15 09:00:00,0.0,EDC
2024-02-15 16:30:00,0.01,EDC
2024-02-16 00:30:00,0.0,EDC
2024-02-16 09:00:00,0.0,EDC
2024-02-16 16:30:00,0.0,EDC
2024-02-17 00:30:00,0.0,EDC
2024-02-17 09:00:00,0.0,EDC
2024-02-17 16:30:00,0.0,EDC
2024-02-18 09:00:00,0.0,EDC
2024-02-18 16:30:00,0.0,EDC
2024-02-19 09:00:00,0.0,EDC
2024-02-19 16:30:00,0.0,EDC
2024-02-20 00:30:00,0.0,EDC
2024-02-20 09:00:00,0.0,EDC
2024-02-20 16:30:00,0.0,EDC
2024-02-21 00:30:00,0.0,EDC
2024-02-21 09:00:00,0.0,EDC
2024-02-21 16:30:00,0.0,EDC
2024-02-22 00:30:00,0.0,EDC
2024-02-22 09:00:00,0.0,EDC
2024-02-22 16:30:00,0.0,EDC
2024-02-23 00:30:00,0.0,EDC
2024-02-23 09:00:00,0.0,EDC
2024-02-23 16:30:00,0.0,EDC
2024-02-24 00:30:00,0.0,EDC
2024-02-24 09:00:00,0.0,EDC
2024-02-24 16:30:00,0.0,EDC
2024-02-25 00:30:00,0.0,EDC
2024-02-25 09:00:00,0.0,EDC
2024-02-25 16:30:00,0.02,EDC
2024-02-26 00:30:00,0.0,EDC
2024-02-26 09:00:00,0.0,EDC
2024-02-26 16:30:00,0.0,EDC
