"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,2200,1400,2000,104.839067,105.056713,0.74745382,OK
50,10,2400,400,500,101.26956,101.348506,0.294032961,OK
50,10,2400,400,600,101.458023,101.608518,0.299813251,OK
50,10,2400,400,700,101.645588,101.866574,0.305745846,OK
50,10,2400,400,800,101.832271,102.122703,0.311832485,OK
50,10,2400,400,900,102.018086,102.376936,0.318077461,OK
50,10,2400,400,1000,102.203049,102.629305,0.324485191,OK
50,10,2400,500,600,101.53653,101.608519,0.305766185,OK
50,10,2400,500,700,101.723866,101.866574,0.311821272,OK
50,10,2400,500,800,101.910322,102.122703,0.318033377,OK
50,10,2400,500,900,102.095911,102.376936,0.324406904,OK
50,10,2400,500,1000,102.28065,102.629304,0.330946339,OK
50,10,2400,500,1100,102.464552,102.879838,0.3376563,OK
50,10,2400,600,700,101.801688,101.866575,0.317975286,OK
50,10,2400,600,800,101.987919,102.122702,0.324314438,OK
50,10,2400,600,900,102.173285,102.376935,0.330818081,OK
50,10,2400,600,1000,102.357802,102.629304,0.337490811,OK
50,10,2400,600,1100,102.541483,102.879838,0.344337318,OK
50,10,2400,600,1200,102.724343,103.128567,0.351362426,OK
50,10,2400,700,800,102.065071,102.122703,0.330676137,OK
50,10,2400,700,900,102.250215,102.376935,0.337311494,OK
50,10,2400,700,1000,102.434513,102.629303,0.344119105,OK
50,10,2400,700,1100,102.617976,102.879837,0.351103769,OK
50,10,2400,700,1200,102.800618,103.128567,0.358270385,OK
50,10,2400,700,1300,102.982454,103.37552,0.365623991,OK
50,10,2400,800,900,102.32671,102.376935,0.343887605,OK
50,10,2400,800,1000,102.510789,102.629303,0.350831716,OK
50,10,2400,800,1100,102.694036,102.879837,0.357956144,OK
50,10,2400,800,1200,102.876464,103.128566,0.3652659,OK
50,10,2400,800,1300,103.058086,103.375519,0.372766096,OK
50,10,2400,800,1400,103.238916,103.620725,0.380461993,OK
50,10,2400,900,1000,102.586639,102.629303,0.357629095,OK
50,10,2400,900,1100,102.769671,102.879836,0.364894926,OK
50,10,2400,900,1200,102.951886,103.128566,0.372349449,OK
50,10,2400,900,1300,103.133297,103.375519,0.379997889,OK
50,10,2400,900,1400,103.313917,103.620724,0.387845585,OK
50,10,2400,900,1500,103.49376,103.864209,0.395898026,OK
50,10,2400,1000,1100,102.844889,102.879837,0.371920558,OK
50,10,2400,1000,1200,103.026893,103.128565,0.379521506,OK
50,10,2400,1000,1300,103.208095,103.375518,0.38731984,OK
50,10,2400,1000,1400,103.388507,103.620724,0.395321009,OK
50,10,2400,1000,1500,103.568143,103.864209,0.403530584,OK
50,10,2400,1000,1600,103.747015,104.106,0.411954292,OK
50,10,2400,1100,1200,103.101492,103.128566,0.386782508,OK
50,10,2400,1100,1300,103.282485,103.375518,0.394732413,OK
50,10,2400,1100,1400,103.462692,103.620723,0.402888727,OK
50,10,2400,1100,1500,103.642123,103.864208,0.411257132,OK
50,10,2400,1100,1600,103.820791,104.105999,0.419843441,OK
50,10,2400,1100,1700,103.99871,104.346123,0.428653626,OK
50,10,2400,1200,1300,103.356477,103.375518,0.402236039,OK
