LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,time
12.2337198,138.8802032,1224.2009277,105.5449829,109.0157089,3165.2578125,3174.7526855,50.4183426,2024-06-18 16:00:00
12.0578489,138.9075623,1239.0,105.413681,109.1228485,3324.4929199,3333.3879395,49.3054085,2024-06-18 16:10:00
12.25,138.934906,1238.677002,105.5543289,109.1745453,3065.7253418,3071.5275879,49.3260994,2024-06-18 16:20:00
12.5523329,138.9622498,1233.0,105.417305,109.0836334,3013.3979492,3018.197998,52.6100731,2024-06-18 16:30:00
12.5229797,138.9896088,1244.4970703,105.8234024,109.0228577,3116.8508301,3121.1335449,50.26474,2024-06-18 16:40:00
12.5091763,139.0169525,1239.7852783,105.7711716,109.1852951,3079.6242676,3083.3366699,49.9821205,2024-06-18 16:50:00
12.5343618,139.0442963,1230.1019287,105.5924149,109.1465836,3051.6044922,3056.2592773,50.001152,2024-06-18 17:00:00
12.6019163,139.0716553,1234.6068115,105.7819901,109.107872,3091.5197754,3076.9445801,49.8414536,2024-06-18 17:10:00
12.4978724,139.098999,1238.4465332,105.6999969,109.2120972,3058.1762695,3068.7351074,49.9801636,2024-06-18 17:20:00
12.4604273,139.0736542,1215.3111572,105.7719116,109.2580795,3106.5007324,3116.6513672,50.0896339,2024-06-18 17:30:00
12.4707556,139.0462952,1227.2027588,105.7478027,109.3040543,3100.7998047,3107.0,49.8813477,2024-06-18 17:40:00
12.5124149,139.0189362,1240.02771,105.7337875,109.3500366,3133.8730469,3156.0800781,49.7926254,2024-06-18 17:50:00
12.2015657,138.9915771,1228.2043457,105.5043106,109.3960114,3372.6977539,3398.8745117,50.6948929,2024-06-18 18:00:00
12.5063868,138.9642181,1241.651001,105.9725266,109.2705612,3165.604248,3170.3154297,49.2960052,2024-06-18 18:10:00
12.6292477,138.9368591,1227.1791992,105.9000015,109.1288223,3015.0756836,3058.137207,50.6665421,2024-06-18 18:20:00
12.390378,138.9095001,1244.831665,105.9469833,109.1562347,3175.8833008,3155.9174805,49.0552635,2024-06-18 18:30:00
12.5509834,138.8821411,1233.4990234,105.6999969,109.1999969,3030.088623,3031.088623,50.9720116,2024-06-18 18:40:00
12.5330849,138.8547821,1240.4624023,106.0504837,109.1771545,3094.8486328,3096.6293945,48.6316414,2024-06-18 18:50:00
12.583292,138.8274231,1236.2630615,105.5391235,109.1116638,3038.8796387,3041.8369141,51.2999992,2024-06-18 19:00:00
12.591217,138.8000641,1235.3825684,106.0813675,109.1533279,3084.5266113,3081.9880371,49.070118,2024-06-18 19:10:00
12.6099997,138.7727051,1234.9084473,105.8000031,109.1949921,3100.7126465,3095.5620117,50.3928337,2024-06-18 19:20:00
